metric,f_statistic,p_value,significant,eta_squared,effect_size
reorder_ratio,140538.74650175945,0.0,Yes,0.6982305965625799,Large
reorder_consistency,845.8564455018103,0.0,Yes,0.013734663647513514,Small
pct_reordered_products,68599.31451596756,0.0,Yes,0.5303839096976506,Large
mean_days_between_orders,22113.194880753952,0.0,Yes,0.266897177330376,Large
cv_days_between_orders,11670.84274812384,0.0,Yes,0.16117608952686105,Large
mean_order_hour,304.1601408405149,5.411251095244708e-197,Yes,0.004982651919900935,Small
std_order_hour,111.16614568172047,6.491007192807943e-72,Yes,0.001826863175801413,Small
avg_basket_size,588.110939602815,0.0,Yes,0.009589633972691691,Small
std_basket_size,58.028585750348945,1.7393771714785385e-37,Yes,0.0009544537092965925,Small
min_basket_size,513.4742546205222,0.0,Yes,0.00838282326256276,Small
max_basket_size,1678.9257827608014,0.0,Yes,0.02689784753030984,Small
basket_size_cv,1365.856022383777,0.0,Yes,0.021992505066294493,Small
unique_products,6323.411261934668,0.0,Yes,0.09429050167762824,Medium
unique_aisles,3770.1900860072587,0.0,Yes,0.05844362824215325,Small
